# Species	Genes	Alg.-Conn.	com_protein.CCAP.faa	com_protein.Hart1.faa	com_protein.braziliensis.faa	com_protein.donovani.faa	com_protein.grayi.faa	com_protein.hertigi.faa	com_protein.martiniquensis.faa	com_protein.orientalis.faa	com_protein.pyrrhocoris.faa	com_protein.theileri.faa
10	37	0.326	KNH08328.1,KNH09706.1	CCW66145.1	XP_001567804.1	CBZ37176.1,CBZ37177.1,CBZ37178.1	KEG07859.1	KAG5494962.1,KAG5512334.1	KAG5469293.1,KAG5469294.1,KAG5469295.1,KAG5469296.1,KAG5469297.1,KAG5469298.1,KAG5469299.1,KAG5469300.1,KAG5469301.1,KAG5469302.1,KAG5469303.1,KAG5469304.1	KAG5468952.1	KPA76789.1,KPA76790.1,KPA76791.1,KPA76792.1,KPA76793.1,KPA76794.1,KPA76795.1,KPA76796.1,KPA76797.1,KPA76798.1,KPA76799.1,KPA76800.1,KPA76801.1	ORC90478.1
10	31	0.272	KNH06083.1	CCW69317.1	XP_001565946.1	CBZ35407.1	KEG11216.1	KAG5501529.1	KAG5475414.1,KAG5475415.1	KAG5475674.1,KAG5475675.1	KPA84303.1,KPA84304.1,KPA84305.1,KPA84306.1,KPA84307.1,KPA84308.1,KPA84309.1,KPA84310.1,KPA84311.1,KPA84312.1,KPA84313.1,KPA84314.1,KPA84315.1,KPA84316.1,KPA84317.1,KPA84318.1,KPA84319.1,KPA84320.1,KPA84321.1,KPA84322.1	ORC87204.1
10	30	0.253	KNH04116.1	CCW68146.1	XP_001566920.1	CBZ36320.1,CBZ36321.1	KEG14900.1	KAG5498797.1,KAG5498798.1	KAG5472518.1	KAG5472895.1,KAG5472896.1,KAG5472897.1,KAG5472898.1	KPA83387.1,KPA83389.1,KPA83390.1,KPA83392.1,KPA83393.1,KPA83395.1,KPA83396.1,KPA83398.1,KPA83399.1,KPA83401.1,KPA83402.1,KPA83404.1,KPA83406.1,KPA83407.1,KPA83409.1,KPA83410.1	ORC90767.1
10	27	0.327	KNH07933.1	CCW70184.1	XP_001562314.1,XP_001562315.1	CBZ34966.1	KEG12509.1	KAG5501836.1,KAG5501837.1	KAG5476384.1,KAG5476385.1	KAG5476107.1,KAG5476108.1	KPA86813.1,KPA86808.1,KPA86809.1,KPA86810.1,KPA86811.1,KPA86812.1,KPA86819.1,KPA86814.1,KPA86815.1,KPA86816.1,KPA86817.1,KPA86818.1,KPA86807.1	ORC87606.1,ORC87607.1
10	25	0.589	KNH05062.1,KNH06686.1	CCW70890.1	XP_001565563.1,XP_001565564.1,XP_001565565.1,XP_001565566.1	CBZ34704.1,CBZ34705.1	KEG11425.1	KAG5502805.1,KAG5502806.1,KAG5502807.1	KAG5476940.1,KAG5476941.1,KAG5476942.1	KAG5477201.1,KAG5477202.1,KAG5477203.1	KPA79488.1,KPA79489.1	ORC91795.1,ORC91796.1,ORC91797.1,ORC91798.1
10	25	0.397	KNH04653.1,KNH06658.1	CCW67868.1	XP_001563419.1	CBZ32782.1	KEG15651.1	KAG5509453.1	KAG5483363.1,KAG5483364.1,KAG5483365.1,KAG5483366.1	KAG5483788.1,KAG5483789.1,KAG5483790.1,KAG5483791.1,KAG5483792.1,KAG5483793.1,KAG5483827.1,KAG5483828.1	KPA77322.1,KPA77323.1,KPA77324.1,KPA77325.1,KPA77326.1	ORC93272.1
10	24	0.468	KNH08207.1	CCW67392.1	XP_001566460.1,XP_001566463.1	CBZ35841.1	KEG14705.1	KAG5490416.1,KAG5490417.1,KAG5490443.1	KAG5473773.1,KAG5473774.1	KAG5473491.1,KAG5473492.1,KAG5473493.1	KPA80459.1,KPA80460.1,KPA80461.1,KPA80462.1,KPA80463.1,KPA80464.1,KPA80465.1,KPA80466.1,KPA80467.1	ORC79951.1
10	23	0.48	KNH08322.1,KNH09724.1	CCW68206.1,CCW69397.1	XP_001566991.1,XP_001568291.1	CBZ36392.1,CBZ38091.1	KEG14390.1	KAG5492603.1,KAG5498868.1	KAG5466767.1,KAG5472587.1	KAG5466221.1,KAG5472971.1	KPA83525.1,KPA83526.1,KPA83527.1,KPA86116.1,KPA86117.1,KPA86118.1	ORC90688.1,ORC92323.1
10	22	0.514	KNH05017.1,KNH05036.1	CCW67030.1,CCW71658.1	XP_001562571.1,XP_001568760.1	CBZ38569.1	KEG06338.1,KEG14995.1	KAG5489997.1,KAG5510934.1	KAG5463954.1,KAG5486209.1	KAG5464686.1,KAG5486862.1	KPA74302.1,KPA74303.1,KPA74304.1,KPA80021.1,KPA80022.1	ORC86577.1,ORC93084.1
10	22	0.489	KNH01773.1,KNH04050.1	CCW67336.1,CCW68370.1	XP_001563032.1,XP_001567020.1	CBZ32381.1,CBZ35917.1	KEG05761.1,KEG13807.1	KAG5490374.1,KAG5510163.1	KAG5473836.1,KAG5484796.1	KAG5473557.1,KAG5485419.1	KPA77096.1,KPA77097.1,KPA80561.1,KPA80562.1	ORC88488.1,ORC90241.1
